City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,dvurechensk,56.5982,61.0953,-1.79,92,100,2.97,RU,1700957318
216,kourou,5.1552,-52.6478,26.03,89,81,2.82,GF,1700957318
217,mount gambier,-37.8333,140.7667,14.56,76,99,4.7,AU,1700957319
218,inari,68.906,27.0288,-1.89,97,100,2.7,FI,1700957319
219,lamu,-2.2717,40.902,25.63,85,97,1.54,KE,1700957320
220,kapuskasing,49.4169,-82.4331,-1.17,59,99,5.38,CA,1700957320
221,likisa,-8.6695,125.6875,24.35,57,44,1.36,TL,1700957321
222,bela vista de goias,-16.9728,-48.9533,25.64,69,100,2.03,BR,1700957321
223,mirnyy,62.5353,113.9611,-28.76,68,90,3.13,RU,1700957322
224,port saint john's,-31.6229,29.5448,21.7,93,100,3.46,ZA,1700957322
225,arvayheer,46.2639,102.775,-6.53,78,100,6.77,MN,1700957323
226,kruisfontein,-34.0033,24.7314,14.16,88,74,1.02,ZA,1700957324
227,hastings,50.8552,0.5729,3.47,76,90,2.78,GB,1700957298
228,flying fish cove,-10.4217,105.6791,25.82,83,100,2.57,CX,1700957324
229,san sebastian de la gomera,28.0916,-17.1133,21.32,56,20,3.6,ES,1700957325
230,mwandiga,-4.83,29.6581,21.04,89,100,3.87,TZ,1700957325
231,richards bay,-28.783,32.0377,22.8,95,100,3.56,ZA,1700957325
232,tiksi,71.6872,128.8694,-25.57,96,80,1.03,RU,1700957326
233,colonia,50.9333,6.95,5.54,87,75,3.6,DE,1700957093
234,haiku-pauwela,20.9219,-156.3051,29.01,51,20,8.23,US,1700957327
235,mogadishu,2.0371,45.3438,27.69,77,85,7.0,SO,1700957206
236,vila franca do campo,37.7167,-25.4333,19.23,99,97,5.84,PT,1700957327
237,dezhou,37.4486,116.2925,0.56,91,13,0.49,CN,1700957328
238,san antonio de pale,-1.4014,5.6325,26.52,85,26,4.38,GQ,1700957328
239,tianpeng,30.9866,103.9393,14.24,64,20,0.34,CN,1700957329
240,fang,19.9169,99.2145,17.3,94,57,0.66,TH,1700957329
241,kayangel,8.0823,134.7173,28.81,76,7,7.11,PW,1700957330
242,al kharj,24.155,47.3346,19.32,66,74,2.81,SA,1700957330
243,port isabel,26.0734,-97.2086,23.04,87,100,2.57,US,1700957330
244,salym,60.0625,71.4789,-10.7,95,67,2.45,RU,1700957331
245,santa marta,11.2408,-74.199,27.16,78,17,2.24,CO,1700957331
246,tazovsky,67.4667,78.7,-20.62,89,18,4.9,RU,1700957332
247,kiunga,-6.1219,141.2906,25.44,94,99,0.39,PG,1700957332
248,barkly west,-28.5354,24.5215,25.53,30,39,0.52,ZA,1700957332
249,barreirinhas,-2.7469,-42.8264,26.78,75,15,4.59,BR,1700957333
250,mbanza-ngungu,-5.25,14.8667,19.19,93,100,0.58,CD,1700957333
251,puerto gaitan,4.3133,-72.0816,25.33,83,99,2.18,CO,1700957334
252,touros,-5.1989,-35.4608,26.23,69,0,7.43,BR,1700957334
253,kangaba,11.9333,-8.4167,24.35,25,100,1.52,ML,1700957335
254,tofol,5.3248,163.0078,28.88,84,100,1.54,FM,1700957335
255,collie,-33.3667,116.15,21.26,46,99,6.7,AU,1700957335
256,chui,-33.6971,-53.4616,13.68,86,47,3.15,UY,1700957336
257,sao joao da barra,-21.6403,-41.0511,22.49,68,100,2.04,BR,1700957336
258,kaoma,-14.7833,24.8,19.06,91,96,1.98,ZM,1700957337
259,ardabil,38.2498,48.2933,10.25,30,100,9.32,IR,1700957337
260,raja,8.4596,25.678,23.92,76,98,1.9,SS,1700957337
261,malabar,-33.9667,151.25,30.39,53,20,4.63,AU,1700957338
262,veraval,20.9,70.3667,23.67,82,32,3.24,IN,1700957338
263,ikot ekpene,5.1794,7.7108,24.48,92,100,1.9,NG,1700957339
264,quepos,9.4236,-84.1652,26.17,87,61,0.65,CR,1700957339
265,ancud,-41.8697,-73.8203,10.69,84,46,1.6,CL,1700957339
266,maun,-19.9833,23.4167,26.16,46,57,2.41,BW,1700957340
267,walvis bay,-22.9575,14.5053,16.16,82,0,2.12,NA,1700957340
268,tucuma,-0.1833,-50.05,26.84,77,56,3.02,BR,1700957341
269,nuku'alofa,-21.1333,-175.2,30.19,74,20,4.12,TO,1700957341
270,nenjiang,49.1833,125.2167,-21.35,92,35,1.88,CN,1700957341
271,springbok,-29.6643,17.8865,17.53,29,3,0.92,ZA,1700957342
272,katsuura,35.1333,140.3,13.47,85,100,5.98,JP,1700957342
273,ust-nera,64.5667,143.2,-30.48,99,99,2.61,RU,1700957343
274,conception bay south,47.4999,-52.9981,-1.16,71,64,5.32,CA,1700957343
275,bodo,67.28,14.405,-4.98,80,0,5.14,NO,1700957344
276,nanakuli,21.3906,-158.1547,28.97,63,75,6.69,US,1700957345
277,an nuhud,12.7,28.4333,25.75,25,9,4.89,SD,1700957345
278,nova xavantina,-14.6667,-52.35,28.08,57,73,1.32,BR,1700957346
279,usogorsk,63.4106,48.6872,-18.67,100,94,1.25,RU,1700957346
280,sargodha,32.0836,72.6711,16.53,35,100,1.84,PK,1700957347
281,okha,53.5739,142.9478,-13.98,93,100,11.54,RU,1700957347
282,zhanaozen,43.3,52.8,9.6,50,34,9.9,KZ,1700957347
283,la'ie,21.6477,-157.9253,28.98,72,22,4.02,US,1700957348
284,orange,33.7,-117.7675,21.59,54,20,3.6,US,1700957349
285,viesite,56.3475,25.5551,-5.03,96,100,2.09,LV,1700957349
286,vodice,43.7608,15.7828,4.98,52,0,7.43,HR,1700957349
287,zemio,5.0314,25.1361,19.68,99,86,1.25,CF,1700957350
288,miedzyrzec podlaski,51.9864,22.7825,-0.61,93,87,5.43,PL,1700957351
289,nejo,9.5,35.5,14.85,77,32,0.61,ET,1700957241
290,burang,30.25,81.1667,-2.78,44,67,1.02,CN,1700957352
291,mount pearl,47.5166,-52.7813,-1.49,72,77,1.79,CA,1700957352
292,kingston,17.997,-76.7936,26.23,91,100,1.39,JM,1700957352
293,patterson,37.4716,-121.1297,15.97,42,0,1.66,US,1700957353
294,mpika,-11.8343,31.4529,17.67,85,93,0.14,ZM,1700957353
295,lata,40.1629,-8.3327,7.26,92,56,1.05,PT,1700957354
296,syzran',53.1585,48.4681,0.1,98,100,1.55,RU,1700957354
297,nizhniy ingash,56.2,96.53,-17.91,96,73,1.06,RU,1700957355
298,burnie,-41.0667,145.9167,14.99,94,100,3.23,AU,1700957355
299,cold lake,54.4502,-110.2017,-3.67,58,63,6.21,CA,1700957355
300,coari,-4.085,-63.1414,22.53,98,100,0.91,BR,1700957159
301,howrah,22.5892,88.3103,19.0,82,20,2.57,IN,1700957356
302,homer,59.6425,-151.5483,6.54,87,100,0.0,US,1700957357
303,nushki,29.5542,66.0215,14.64,57,100,1.15,PK,1700957357
304,capelinha,-17.6914,-42.5158,19.48,69,61,3.1,BR,1700957357
305,san pedro,14.35,121.0167,27.4,85,84,2.68,PH,1700957358
306,lauro de freitas,-12.8944,-38.3272,27.01,74,20,3.6,BR,1700957359
307,hamilton,39.1834,-84.5333,5.95,69,0,2.06,US,1700957032
308,chake chake,-5.2459,39.7666,24.86,89,100,1.99,TZ,1700957360
309,weno,7.4515,151.8468,28.97,79,100,4.63,FM,1700957360
310,hobyo,5.3505,48.5268,26.7,82,63,7.96,SO,1700957185
311,tsiombe,-25.3,45.4833,24.02,68,0,2.73,MG,1700957361
312,yampil',51.95,33.7833,-0.92,86,100,2.52,UA,1700957361
313,kuta,-8.7233,115.1723,27.97,83,20,2.24,ID,1700957362
314,port augusta,-32.5,137.7667,22.09,49,2,5.95,AU,1700957362
315,ghanzi,-21.5667,21.7833,24.94,51,100,3.97,BW,1700957362
316,quatre cocos,-20.2078,57.7625,22.83,74,11,4.74,MU,1700957363
317,newman,37.3138,-121.0208,16.83,42,0,1.34,US,1700957364
318,kapa'a,22.0752,-159.319,27.18,81,75,4.63,US,1700957364
319,menaka,15.9182,2.4022,23.98,12,89,3.34,ML,1700957364
320,mossel bay,-34.1831,22.146,17.39,84,39,2.48,ZA,1700957365
321,maceio,-9.6658,-35.7353,25.88,66,38,4.56,BR,1700957234
322,dalandzadgad,43.5708,104.425,-4.08,61,66,3.87,MN,1700957366
323,ostersund,63.1792,14.6357,-9.75,85,20,3.6,SE,1700957366
324,paracuru,-3.41,-39.0306,27.84,76,4,4.9,BR,1700957367
325,yeppoon,-23.1333,150.7333,25.88,70,96,3.26,AU,1700957367
326,starobaltachevo,56.0013,55.9213,-0.07,95,100,3.69,RU,1700957368
327,pankovka,58.5,31.1999,-9.38,90,82,2.38,RU,1700957368
328,athens,37.9795,23.7162,13.98,57,57,8.94,GR,1700957148
329,pointe-du-lac,46.2869,-72.6845,-0.28,82,39,0.45,CA,1700957369
330,leninskoye,41.7589,69.3864,10.97,33,100,1.24,KZ,1700957369
331,vernon,50.2581,-119.2691,2.64,70,70,1.34,CA,1700957370
332,calvinia,-31.4707,19.776,18.83,37,17,1.36,ZA,1700957370
333,la ligua,-32.4524,-71.2311,15.89,79,0,1.66,CL,1700957355
334,pilsrundale,56.4167,24.0,-5.17,95,88,2.96,LV,1700957371
335,ta`u,-14.2336,-169.5144,27.96,81,64,6.76,AS,1700957372
336,ortigueira,-24.2083,-50.9494,13.93,99,100,1.36,BR,1700957372
337,agogo,6.8,-1.0819,21.66,97,100,1.46,GH,1700957373
338,sirte,31.2089,16.5887,19.18,52,2,10.58,LY,1700957373
339,coahuayana de hidalgo,18.7,-103.6583,25.35,73,2,0.96,MX,1700957374
340,polyarnyy,69.1989,33.4478,-8.53,84,98,2.05,RU,1700957374
341,yabelo,4.8833,38.0833,15.6,81,49,2.67,ET,1700957240
342,cartagena del chaira,1.3349,-74.8429,22.63,98,85,1.32,CO,1700957375
343,kilindoni,-7.9139,39.6668,26.91,76,100,4.17,TZ,1700957376
344,tamanrasset,22.785,5.5228,8.95,18,0,1.54,DZ,1700957376
345,manokwari,-0.8667,134.0833,28.43,72,70,3.05,ID,1700957375
346,la ronge,55.1001,-105.2842,-8.22,79,99,8.83,CA,1700957377
347,berberati,4.2612,15.7922,21.63,90,95,1.39,CF,1700957377
348,yicheng,31.3705,119.8703,11.57,81,27,1.94,CN,1700957378
349,villamontes,-21.25,-63.5,23.37,61,70,1.05,BO,1700957378
350,reggane,26.7158,0.1714,15.54,27,78,2.01,DZ,1700957379
351,mihaesti,45.0333,24.25,2.46,81,100,1.75,RO,1700957379
352,wewak,-3.5534,143.6268,29.27,70,78,2.21,PG,1700957380
353,qamdo,31.1667,97.2333,-11.56,22,0,0.8,CN,1700957380
354,awjilah,29.1081,21.2869,15.67,41,0,6.69,LY,1700957381
355,tbeng meanchey,13.8167,104.9667,22.48,82,100,0.79,KH,1700957381
356,kashmar,35.2383,58.4656,9.07,45,7,3.07,IR,1700957382
357,kolonia,50.9333,6.95,5.54,87,75,3.6,DE,1700957117
358,adelia maria,-33.6315,-64.021,24.24,41,0,3.58,AR,1700957382
359,karatau,43.1667,70.4667,4.42,72,97,2.0,KZ,1700957383
360,happy valley-goose bay,53.3168,-60.3315,-7.6,66,80,5.67,CA,1700957383
361,hakkari,37.5833,44.1667,3.88,60,75,5.14,TR,1700957384
362,broken hill,-31.95,141.4333,22.51,41,1,3.94,AU,1700957385
